joint_name,q_value,delta_q,ee_x,ee_y,ee_z,delta_ee_x,delta_ee_y,delta_ee_z,roll,pitch,yaw
jnt1,0.594698767358,-0.07999999999999999,0.265224457951646,-0.17939148246043293,-0.09999097522682193,-0.03275610996983824,-0.06220364348962874,-4.5697409067901873e-07,-1.570803455151975,-4.791752346910982e-06,2.546900499358754
jnt1,0.599698767358,-0.07499999999999998,0.26432418530500534,-0.18071535682661163,-0.09999098495255893,-0.03365638261647891,-0.06352751785580744,-4.6669982767255647e-07,-1.5708034344966981,-4.822126741910182e-06,2.5419004993587895
jnt1,0.604698767358,-0.06999999999999998,0.2634173045674986,-0.18203471329991766,-0.09999099464510569,-0.03456326335398563,-0.06484687432911347,-4.7639237443775073e-07,-1.5708034136898081,-4.852397481824866e-06,2.536900499358824
jnt1,0.609698767358,-0.06499999999999997,0.2625038384110976,-0.18334951889650816,-0.09999100430421981,-0.03547672951038666,-0.06616167992570397,-4.860514885574041e-07,-1.5708033927318248,-4.882563809038842e-06,2.5319004993588567
jnt1,0.614698767358,-0.06,0.2615838096724082,-0.18465974074631167,-0.09999101392965995,-0.03639675824907607,-0.06747190177550748,-4.956769286967866e-07,-1.5708033716232719,-4.912624969488633e-06,2.526900499358888
jnt1,0.6196987673579999,-0.05499999999999999,0.26065724135210133,-0.18596534609384993,-0.09999102352118508,-0.03732332656938292,-0.06877750712304574,-5.052684538264796e-07,-1.5708033503646786,-4.9425802124414275e-06,2.5219004993589187
jnt1,0.624698767358,-0.04999999999999999,0.2597241566143363,-0.18726630229905747,-0.09999103307855564,-0.038256411307147964,-0.07007846332825328,-5.148258243881099e-07,-1.570803328956575,-4.972428788052596e-06,2.516900499358947
jnt1,0.6296987673579999,-0.044999999999999984,0.25878457878618344,-0.18856257683809693,-0.09999104260153285,-0.03919598913530081,-0.07137473786729275,-5.243488016004605e-07,-1.5708033073994967,-5.002169950030222e-06,2.511900499358975
jnt1,0.634698767358,-0.03999999999999998,0.2578385313570394,-0.18985413730417208,-0.09999105208987855,-0.04014203656444487,-0.07266629833336789,-5.338371472929371e-07,-1.5708032856939835,-5.031802955857145e-06,2.5069004993590007
jnt1,0.6396987673579999,-0.034999999999999976,0.25688603797804005,-0.19114095140833895,-0.09999106154335566,-0.0410945299434442,-0.07395311243753476,-5.432906244051683e-07,-1.570803263840576,-5.061327064126431e-06,2.5019004993590253
jnt1,0.644698767358,-0.02999999999999997,0.255927122461471,-0.1924229869803116,-0.09999107096172721,-0.04205344546001327,-0.07523514800950741,-5.527089959600495e-07,-1.5708032418398226,-5.090741536761811e-06,2.4969004993590485
