t,q_jnt,q_act_equiv,ee_solved_xyz,residual,joint_limit_margin,actuator_limit_margin_proxy
0.49,"[1.5707408645338592, 1.4952855575620476, 1.2162835403982606, -0.292265778864445]","[2.9453232037012174, 9.968570383746984, 4.0542784679942026, -0.9742192628814833]","[2.0599856612976804e-05, -0.3499867377523347, -0.14999375588932612]",3.1040285195384856e-06,0.07561444243795234,10.031429616253016
0.5,"[1.5707991995642547, 1.4953229369993497, 1.2162307900962452, -0.2922299858059963]","[2.9454325887197728, 9.968819579995666, 4.054102633654151, -0.9740999526866544]","[1.8333809601440287e-07, -0.34999972208853813, -0.1499995887264136]",5.29144215624836e-07,0.07557706300065026,10.031180420004334
0.51,"[1.5708546691902092, 1.4952981259934803, 1.2162709687027156, -0.29225676935337536]","[2.9455366007691905, 9.968654173289869, 4.0542365623423855, -0.9741892311779179]","[-1.9230473075188758e-05, -0.34998856345603, -0.14999641514155268]",4.0079990458371244e-07,0.07560187400651963,10.031345826710131
0.52,"[1.5712266440612075, 1.495116598075724, 1.2165562740528462, -0.2924476903100339]","[2.946234097245842, 9.967443987171494, 4.055187580176154, -0.9748256343667798]","[-0.0001493848717155412, -0.3499111407174712, -0.14997201673148822]",2.8392505495019116e-06,0.07578340192427602,10.032556012828506
0.53,"[1.5721994886934854, 1.4946376676945266, 1.2173053870868413, -0.29294952687306874]","[2.948058294943719, 9.96425111796351, 4.057684623622805, -0.9764984229102291]","[-0.0004895117642581868, -0.3497083300530922, -0.1499070819669117]",7.457456675258593e-06,0.07626233230547341,10.03574888203649
0.54,"[1.5740218824073666, 1.4937382177027776, 1.2187076417378695, -0.29389023137288056]","[2.951475496732358, 9.958254784685185, 4.062358805792899, -0.9796341045762685]","[-0.0011256000199012408, -0.34932845641508775, -0.149784218345892]",1.3964974489314259e-05,0.07716178229722237,10.041745215314815
0.55,"[1.576910295797059, 1.4923165682881905, 1.2209188988077055, -0.2953753516518308]","[2.9568916103451324, 9.948777121921271, 4.069729662692352, -0.9845845055061028]","[-0.002130958848943651, -0.3487274255460218, -0.14958853429598865]",2.2037886880594967e-05,0.07858343171180948,10.051222878078729
0.56,"[1.5810526069312179, 1.490293372936271, 1.2240594156807887, -0.2974886856253886]","[2.964658929179107, 9.935289152908474, 4.080198052269296, -0.9916289520846288]","[-0.003566792721012796, -0.34786838876839493, -0.1493075332363627]",3.133163159845055e-05,0.0806066270637289,10.064710847091526
0.5700000000000001,"[1.5866115498731048, 1.4876120257404546, 1.228213273148687, -0.3002908739495693]","[2.9750825986744887, 9.917413504936365, 4.094044243828957, -1.0009695798318978]","[-0.005482776750934523, -0.3467214103351366, -0.1489310231129597]",4.1506908147886114e-05,0.08328797425954537,10.082586495063635
0.58,"[1.5937277847627396, 1.4842386105054532, 1.2334279033396174, -0.3038194949435428]","[2.988426373078454, 9.894924070036355, 4.111426344465391, -1.0127316498118095]","[-0.007917632009143463, -0.3452631237775928, -0.14845099758432032]",5.222879771541954e-05,0.08666138949454671,10.105075929963645
0.59,"[1.6025224352951162, 1.4801612587078072, 1.239714549779869, -0.30808928402314334]","[3.0049173735141874, 9.867741724718716, 4.132381832599563, -1.0269642800771446]","[-0.010899701183712234, -0.3434763944948733, -0.14786153066843272]",6.317922824901389e-05,0.09073874129219273,10.132258275281284
0.6,"[1.6130989824435435, 1.4753888229931917, 1.2470496687512749, -0.3130928143304141]","[3.0247496389340776, 9.835925486621278, 4.1568322291709165, -1.0436427144347136]","[-0.014447524756017625, -0.3413499819598372, -0.1471586702262769]",7.406824141260972e-05,0.09551117700680822,10.164074513378722
0.61,"[1.6255444387693985, 1.4699488872031288, 1.2553772583526293, -0.31880165280125106]","[3.048086328088128, 9.799659248020859, 4.184590861175431, -1.0626721760041702]","[-0.018570417969546164, -0.3388782010878493, -0.1463403308622861]",8.464405019003229e-05,0.10095111279687119,10.200340751979141
0.62,"[1.6399297574366898, 1.4638851986635444, 1.2646120199742195, -0.32516797870212355]","[3.075060486474198, 9.759234657756963, 4.215373399914065, -1.0838932623404118]","[-0.023269048811767824, -0.33606058192822547, -0.14540618555998747]",9.470071598278705e-05,0.10701480133645558,10.240765342243037
0.63,"[1.6563094581847142, 1.4572546620683575, 1.2746432024376062, -0.3321266165797146]","[3.105774344992901, 9.715031080455717, 4.248810674792021, -1.107088721932382]","[-0.028536017101857863, -0.33290152691449365, -0.14435755534156763]",0.0001040823145875108,0.11364533793164244,10.284968919544283
