residual_gain,residual_filter_tau,final_fade_duration,max_delta_force_per_step,mean_delta_ee_rms,mean_delta_final_ee,mean_delta_max_ee,mean_delta_rms_ee_error_velocity,mean_delta_rms_highfreq,mean_delta_p2p_error_norm,mean_delta_saturation_frac,mean_delta_limit_frac,mean_delta_reward,improvement_ratio,ncon_max,selection_score
0.75,0.03,0.5,0.2,-0.0012113017448225779,0.0021336162447951556,-0.0010796974790810323,-0.011058328182307372,-8.108811266455815e-05,-0.0010628317437132342,-0.014895618658633978,-0.002493668310142613,38.105541110333675,0.7333333333333333,0,0.0009223144999725777
0.75,0.03,0.5,0.3,-0.0004861847237884361,0.0025647730858419076,-0.0004302425113540207,0.010503156272206339,0.0002266911287591846,-0.00040907042024784893,0.013886501951235216,-0.0026297076614436835,6.267711932014208,0.7,0,0.0035805841215565855
0.75,0.03,0.8,none,-0.0007099384297162072,0.0030605254309304776,-0.0012517089671512803,0.006939021328430707,0.00017044887405723313,-0.0012342083869186975,0.011119953248343048,-0.0026690596371154664,8.515809562130986,0.7333333333333333,0,0.0035478067630771914
0.75,0.03,0.8,0.2,-0.0011939112714679054,0.0022491391138412115,-0.0011155420939280892,-0.011038454007560674,-8.091176213305852e-05,-0.001098676358560291,-0.014962285325300645,-0.0024270016434759464,37.571425518129644,0.7333333333333333,0,0.001055227842373306
0.75,0.03,0.8,0.3,-0.0004819347760874009,0.0022263314547562654,-0.0004903373134076546,0.010476986140508005,0.0002256285264833331,-0.00046916522230148284,0.013953168617901883,-0.00249637432811035,5.549405587639194,0.7,0,0.0032525278037007195
0.75,0.05,0.0,none,-0.0003620554402170355,0.003380862381566409,0.00014976752815806446,0.008028683812306234,0.00020495431293622566,0.0001592760348760763,0.013776981650552796,-0.0025045500448406255,4.401237955289738,0.7333333333333333,0,0.004530837469847981
0.75,0.05,0.0,0.2,-0.0007900130127756716,0.0006469631935871065,-0.0007548277180981916,-0.0005452630431352301,-9.242573452835843e-06,-0.0007554454347088055,-0.001649505187010732,-0.0018111832983919575,19.093564461431622,0.7333333333333333,0,-0.0001430498191885651
0.75,0.05,0.0,0.3,-0.0012326727262320046,0.0020723376197214036,-0.0012126113799511612,-0.013051380323485833,-0.00013705597682194594,-0.0012004957033730688,-0.018698435560042435,-0.001960334976809279,35.69438435750393,0.7,0,0.000839664893489399
0.75,0.05,0.3,none,-0.0003723474667202248,0.002898599607488898,-5.725085471084019e-05,0.008007314363458223,0.0002041614170455606,-4.774234799282846e-05,0.01371031498388613,-0.0025045500448406255,4.5753240470813274,0.7333333333333333,0,0.003999364347680067
0.75,0.05,0.3,0.2,-0.0007981211309339426,0.00026852864825454247,-0.0008731630265111016,-0.0005638040112833087,-1.0074012376411259e-05,-0.0008737807431217153,-0.001649505187010732,-0.0017445166317252908,18.900968088407534,0.7333333333333333,0,-0.0005295924826794001
0.75,0.05,0.3,0.3,-0.001244165024904944,0.0014571292883492635,-0.0014194923902707442,-0.013071223832383582,-0.0001383327217791391,-0.0014073767136926517,-0.018765102226709105,-0.0018936683101426122,35.54470247388817,0.7333333333333333,0,0.00021296426344431948
0.75,0.05,0.5,none,-0.00038378759173192243,0.0025537612905192028,-0.000233053830590221,0.007991831393660892,0.00020357070512890313,-0.00022354532387220926,0.013843648317219463,-0.0025045500448406255,4.721766216529067,0.7333333333333333,0,0.0036561238830736783
0.75,0.05,0.5,0.2,-0.0007955429628133208,-0.000216497342627233,-0.0009666371041719382,-0.0005323347485529928,-9.414750872151992e-06,-0.0009672548207825522,-0.0016293115493897115,-0.0018180989277142257,19.929202214826365,0.7333333333333333,0,-0.0007955429628133208
0.75,0.05,0.5,0.3,-0.0012522718469486032,0.001253529523160296,-0.001587659967361641,-0.013092613482334058,-0.00013945300697079194,-0.0015755442907835488,-0.01863176889337577,-0.001960334976809279,35.98298012985227,0.7333333333333333,0,1.257676211692928e-06
0.75,0.05,0.8,none,-0.00037032808285287073,0.0024384359793397227,-0.0003322627816086211,0.007960373246405935,0.00020414596981335514,-0.0003227104003849227,0.013823391489583363,-0.0025354417069856786,5.120838923849321,0.7333333333333333,0,0.0035525200303518655
0.75,0.05,0.8,0.2,-0.0007663307203021757,-0.00013607070546368296,-0.0010164187358590619,-0.0005705606467951522,-1.0327539634583278e-05,-0.001017036452469676,-0.001910793030871194,-0.0022146801242954226,23.042509312815188,0.7333333333333333,0,-0.0007663307203021757
0.75,0.05,0.8,0.3,-0.001234115245429901,0.0012364885373088322,-0.0016376047123231661,-0.013115885911510946,-0.00014033052937135082,-0.001623382473408114,-0.01890650793304174,-0.0021972173706854095,37.98781060127852,0.7,0,2.3732918789311393e-06
0.75,0.08,0.0,none,-0.0009110150028618747,0.0019523112292174516,-0.0012652396995532457,-0.010753475834620174,-0.00018110555683710245,-0.0012462718052176744,-0.013281108100424223,-0.002318044227910601,35.36227832935207,0.7,0,0.0010412962263555768
0.75,0.08,0.0,0.2,-0.001057261205289953,0.00082718254523587,-0.0006145953999169092,-0.008797565131738688,-9.079035668384169e-05,-0.0006086587245028201,-0.013818683093605006,-0.0002811116091212687,38.50904561496573,0.7333333333333333,0,-0.0002300786600540831
0.75,0.08,0.0,0.3,-0.0008252747635870136,0.00037560036834657624,-0.0007258055318502203,-0.0009389578814767652,-1.643117484283526e-05,-0.0007158423511109644,-0.0024029465071187268,-0.002503919974461967,25.464238243639315,0.6333333333333333,0,-0.00044967439524043733
0.75,0.08,0.3,none,-0.0009191421407845643,0.0013841234001105173,-0.0013941051423432302,-0.010766278710035606,-0.00018228568874199187,-0.001375137248007659,-0.013281108100424223,-0.002318044227910601,35.494337265771655,0.7,0,0.000464981259325953
0.75,0.08,0.3,0.2,-0.0010616224064820998,0.0004866676257659764,-0.000686112753873158,-0.008811216278251963,-9.102842687254408e-05,-0.000680176078459069,-0.013818683093605006,-0.0002811116091212687,38.6049100358466,0.7333333333333333,0,-0.0005749547807161234
0.75,0.08,0.3,0.3,-0.000834823644340731,0.00016403852765296413,-0.0008958300720481982,-0.0009510073494159166,-1.724515308387942e-05,-0.0008858668913089423,-0.0024029465071187268,-0.002503919974461967,25.61415712069332,0.6333333333333333,0,-0.0006707851166877669
0.75,0.08,0.5,none,-0.0009230668877862415,0.0012515855923916947,-0.0014810061354175853,-0.010762055417127691,-0.0001822696962762567,-0.0014620382410820139,-0.013281108100424223,-0.0022513775612439343,35.20977284953697,0.6666666666666666,0,0.00032851870460545317
0.75,0.08,0.5,0.2,-0.001053285690971108,6.71743558009564e-05,-0.000749728558280412,-0.008808897938061508,-9.105246778769157e-05,-0.000743791882866323,-0.013805614392696784,-0.0005773607641133916,41.16330827646501,0.7333333333333333,0,-0.0009861113351701516
0.75,0.08,0.5,0.3,-0.0008431145808233262,7.487310074511666e-05,-0.0009925070162016955,-0.0009876356298662292,-1.8160258123646757e-05,-0.0009812658140561877,-0.0024029465071187268,-0.002703919974461967,26.726397116664643,0.6333333333333333,0,-0.0007682414800782096
0.75,0.08,0.8,none,-0.0009177804387091002,0.0010182498087581665,-0.0015196561639955893,-0.010745006775048959,-0.00018210484167184153,-0.0015006882696600179,-0.013081108100424224,-0.0022513775612439343,35.15928951938404,0.6666666666666666,0,0.00010046937004906632
0.75,0.08,0.8,0.2,-0.0010338316468039412,0.00053987010467413,-0.0007374617404688194,-0.008837854112375611,-9.275385454946012e-05,-0.0007311618605719131,-0.013823318403761787,-0.00036795550823510656,39.23519268418895,0.7,0,-0.0004939615421298112
