step,time,policy,x_des,y_des,z_des,x_act,y_act,z_act,ee_err_norm_true,ee_err_norm_measured,roll_des,roll_act,pitch_des,pitch_act,ee_hf_norm,saturation_step,joint_limit_flag,actuator_limit_flag,ncon,tau_j1,tau_j2,tau_j3,tau_j4,W_Fx,W_Fy,W_Fz,W_Mroll,W_Mpitch
36,0.37000000000000016,sac,0.243588202242048,-0.20384707865477122,-0.1012823595515904,0.2418590012064127,-0.20470949659565757,-0.10163605841542106,0.0019644347310816637,0.0012545496109446568,-1.570803106772076,-1.5708030408791138,-5.264885037714606e-06,-0.008723899164939652,0.00026664519820377943,0,0,0,0,0.05477935397174184,-6.882001314906341,-1.3668856927113928,0.06486207731045635,-0.2904733747381819,-0.20302595390496553,-0.3605661631774692,-0.013945730288881346,0.0002438040530768704
37,0.38000000000000017,sac,0.243100505341952,-0.20413969679482882,-0.1013798989316096,0.2412715495700713,-0.2049706985938349,-0.10175138995705718,0.0020429509997636095,0.0009183548402205816,-1.570803106772076,-1.5708030372412072,-5.264885037714606e-06,-0.009475516243552473,0.00024370922603848602,0,0,0,0,0.04046919390537667,-6.892408870489351,-1.370312859547779,0.06745390035241416,-0.30468996323278963,-0.13133462905237708,-0.3681267548368074,-0.014709671050612522,0.001160906422134986
38,0.3900000000000002,sac,0.242591278990336,-0.20444523260579842,-0.1014817442019328,0.2406799055732635,-0.20522461133557643,-0.10187482288987296,0.0021012592412252666,0.0007043981295334104,-1.570803106772076,-1.570803033713083,-5.264885037714606e-06,-0.010260340090968434,0.00022135471319795113,0,0,0,0,0.039949202248139394,-6.848389071782529,-1.3314750063297045,0.054526498589438775,-0.3265605252905801,-0.053867631041480415,-0.38194523327403995,-0.015466355217905705,0.0028839419273980387
39,0.4000000000000002,sac,0.2420603136,-0.20476381184,-0.10158793728000001,0.24008615328319077,-0.20546697755595483,-0.10200545058827773,0.0021368360590245457,0.000870569938023754,-1.570803106772076,-1.5708030303425788,-5.264885037714606e-06,-0.01108800796790943,0.00020350992720797885,0,0,0,0,0.05446763098087069,-6.844210825883958,-1.3028403654642053,0.03994786554543107,-0.34259311196206704,-0.035185721326673136,-0.3958966379109396,-0.015836522867369585,0.0032904184212449524
40,0.4100000000000002,sac,0.241507415435264,-0.20509555073884161,-0.1016985169129472,0.23948308955170183,-0.20570262255341898,-0.10214354205458351,0.0021597404583890145,0.0011547662911976697,-1.570803106772076,-1.5708030272264843,-5.264885037714606e-06,-0.01192732555587539,0.00019847972899091315,0,0,0,0,0.05773426395955102,-6.846108285709307,-1.3175677491484272,0.051442184161519876,-0.35563729613304723,-0.05565875411894991,-0.409816223745066,-0.015279438215679467,0.004137152804758231
41,0.4200000000000002,sac,0.240932406427648,-0.20544055614341122,-0.1018135187144704,0.23886674694117782,-0.205927460689296,-0.10228480149966931,0.0021739670223975996,0.0011366426019316597,-1.570803106772076,-1.570803024430605,-5.264885037714606e-06,-0.012791196300655505,0.00020916038563766645,0,0,0,0,0.047427933148035666,-6.83097604058284,-1.3064703224452279,0.049053240632362785,-0.3653817805381592,-0.06173686556457108,-0.38665063346352135,-0.014017405662645598,0.004237003765891276
42,0.4300000000000002,sac,0.240335123991552,-0.20579892560506882,-0.1019329752016896,0.2382417786824213,-0.2061417059873732,-0.10242576705322726,0.0021777136594819117,0.0007071928617731367,-1.570803106772076,-1.5708030218843803,-5.264885037714606e-06,-0.013675984934094165,0.00023042871042245673,0,0,0,0,0.07921691643305875,-6.869852007639207,-1.3386116485086372,0.0650168137198725,-0.3800822181200149,-0.09611884558341063,-0.36007584947561727,-0.012074779618217502,0.0046767608972697865
43,0.4400000000000002,sac,0.239715420839936,-0.20617074749603842,-0.1020569158320128,0.23760706569580117,-0.20635524910642922,-0.10256491299049156,0.002176525527316197,0.0010109800785889091,-1.570803106772076,-1.5708030193205749,-5.264885037714606e-06,-0.014575782127831838,0.0002545497337718056,0,0,0,0,0.11848404953352652,-6.884780982594289,-1.338805992537766,0.06448567766772947,-0.3932930972668481,-0.12671934405866064,-0.31010240162781477,-0.009522453958111713,0.004969008230790218
44,0.45000000000000023,sac,0.2390731648,-0.20655610112000003,-0.10218536704,0.2369667046947607,-0.20657882573715508,-0.10270600393780271,0.002169966212304517,0.0011122123323041816,-1.570803106772076,-1.5708030166103848,-5.264885037714606e-06,-0.015448087103899333,0.0002734733403098066,0,0,0,0,0.14080848838470209,-6.929704222737142,-1.3688985510444365,0.07662488155639932,-0.40508238944264036,-0.15938125342416626,-0.2459343422665919,-0.006730303206560373,0.004541697497926999
45,0.46000000000000024,sac,0.23840823862886398,-0.20695505682268162,-0.10231835227422721,0.23633930712741694,-0.20682888178413517,-0.10285131171710965,0.0021401970623729227,0.0010369841421878257,-1.570803106772076,-1.570803013854474,-5.264885037714606e-06,-0.016133394498777376,0.00027814907120858964,0,0,0,0,0.14847721049611873,-6.925552784769803,-1.3787675803887096,0.08665850001155553,-0.41652562422969264,-0.19454221165042124,-0.1728394070681064,-0.003958467922334749,0.0033569772796802665
