step,time,policy,x_des,y_des,z_des,x_act,y_act,z_act,ee_err_norm_true,ee_err_norm_measured,roll_des,roll_act,pitch_des,pitch_act,ee_hf_norm,saturation_step,joint_limit_flag,actuator_limit_flag,ncon,tau_j1,tau_j2,tau_j3,tau_j4,W_Fx,W_Fy,W_Fz,W_Mroll,W_Mpitch
32,0.3300000000000001,zero,0.245328452196352,-0.20280292868218883,-0.1009343095607296,0.2472192920249068,-0.20079013162551657,-0.1004655846996513,0.0028011301726250746,0.003250975988953002,-1.570803106772076,-1.570803098434797,-5.264885037714606e-06,-0.005145800203524953,0.00022461770909671375,0,0,0,0,0.17275852707363595,-6.921239704188338,-1.3489741826969548,0.032849600089185554,0.0,0.0,0.0,0.0,0.0
33,0.34000000000000014,zero,0.244924453748736,-0.20304532775075843,-0.10101510925025281,0.2467888987883594,-0.20090963245048127,-0.10051949109448396,0.002878017907819543,0.0033940628528307233,-1.570803106772076,-1.5708030968830273,-5.264885037714606e-06,-0.005932963115394818,0.00023068556385774603,0,0,0,0,0.17250310319186032,-6.950405208169515,-1.3818579456400033,0.04961511778826208,0.0,0.0,0.0,0.0,0.0
34,0.35000000000000014,zero,0.24449992639999998,-0.20330004416000003,-0.10110001472,0.24633862565184722,-0.20104181410151145,-0.10057844274832303,0.002958454876695588,0.003912235529802163,-1.570803106772076,-1.5708030954011902,-5.264885037714606e-06,-0.00668584147851381,0.00023686648862408967,0,0,0,0,0.17877689409377184,-6.933512281205062,-1.3663224914388825,0.04514902395053101,0.0,0.0,0.0,0.0,0.0
35,0.36000000000000015,zero,0.244054595313664,-0.2035672428118016,-0.10118908093726721,0.24587405001200485,-0.20119505329754675,-0.1006457879395719,0.003038563109793848,0.003610670861067951,-1.570803106772076,-1.5708030938691326,-5.264885037714606e-06,-0.007370474291449769,0.00023541543951628477,0,0,0,0,0.20464805962888763,-6.924476809041235,-1.3535077740582604,0.04099757742468942,0.0,0.0,0.0,0.0,0.0
36,0.37000000000000016,zero,0.243588202242048,-0.20384707865477122,-0.1012823595515904,0.24538842854027654,-0.20135729258001717,-0.10072373825885544,0.0031228043761288874,0.0036633591278006604,-1.570803106772076,-1.5708030922151377,-5.264885037714606e-06,-0.008091198858639848,0.0002361952567825537,0,0,0,0,0.18717568977121368,-6.9337474143896305,-1.3907165853340824,0.06368938134016733,0.0,0.0,0.0,0.0,0.0
37,0.38000000000000017,zero,0.243100505341952,-0.20413969679482882,-0.1013798989316096,0.24488258206023275,-0.2015298413553243,-0.10081065837670963,0.0032111022491182737,0.0040885104959317575,-1.570803106772076,-1.5708030904618124,-5.264885037714606e-06,-0.00883000427564129,0.00023795244560032244,0,0,0,0,0.19302293806660537,-6.962480487508531,-1.4154392105439695,0.07587139919396735,0.0,0.0,0.0,0.0,0.0
38,0.3900000000000002,zero,0.242591278990336,-0.20444523260579842,-0.1014817442019328,0.24435827335265298,-0.20171820968726079,-0.10090152127828825,0.0033008456061761064,0.004417405359807609,-1.570803106772076,-1.5708030883737465,-5.264885037714606e-06,-0.009588015005181472,0.0002371941298957341,0,0,0,0,0.21073968818308983,-6.941698136825845,-1.4025190797383325,0.07451094640439715,0.0,0.0,0.0,0.0,0.0
39,0.4000000000000002,zero,0.2420603136,-0.20476381184,-0.10158793728000001,0.2438193711140598,-0.2019210943231355,-0.10099365549540085,0.0033953640538188002,0.004366010019208705,-1.570803106772076,-1.5708030858570206,-5.264885037714606e-06,-0.010376701042541958,0.00023549632946919587,0,0,0,0,0.2284482385674255,-6.946676377757221,-1.3831540548140646,0.06385756785502672,0.0,0.0,0.0,0.0,0.0
40,0.4100000000000002,zero,0.241507415435264,-0.20509555073884161,-0.1016985169129472,0.24326696906191522,-0.20214932638813454,-0.10108679602427864,0.0034857523342019373,0.004081439862881829,-1.570803106772076,-1.570803082968644,-5.264885037714606e-06,-0.011116142597234369,0.00022624761420943828,0,0,0,0,0.2251521209594377,-6.947954582592568,-1.3959642871686608,0.07414571307546988,0.0,0.0,0.0,0.0,0.0
41,0.4200000000000002,zero,0.240932406427648,-0.20544055614341122,-0.1018135187144704,0.2426984720381749,-0.20239871585948904,-0.10117565068684611,0.0035747245592133246,0.004425238219203671,-1.570803106772076,-1.5708030796944705,-5.264885037714606e-06,-0.011829647686275813,0.00021588837160434838,0,0,0,0,0.21062804874241994,-6.921364679301499,-1.3810217592477614,0.0714120136276435,0.0,0.0,0.0,0.0,0.0
