t,des_x,des_y,des_z,act_x,act_y,act_z,q_jnt_des_1,q_jnt_des_2,q_jnt_des_3,q_jnt_des_4,q_jnt_act_1,q_jnt_act_2,q_jnt_act_3,q_jnt_act_4,qdot_jnt_des_1,qdot_jnt_des_2,qdot_jnt_des_3,qdot_jnt_des_4,qdot_jnt_act_1,qdot_jnt_act_2,qdot_jnt_act_3,qdot_jnt_act_4,tau_bias_1,tau_bias_2,tau_bias_3,tau_bias_4,tau_pd_1,tau_pd_2,tau_pd_3,tau_pd_4,tau_total_1,tau_total_2,tau_total_3,tau_total_4,joint_margin_min,act_margin_min,q_act_equiv_1,q_act_equiv_2,q_act_equiv_3,q_act_equiv_4,pos_err_norm
0.28200000000000003,0.09532606938726398,-0.2928043583676416,-0.1309347861225472,0.24971543802943383,-0.17703746312217278,-0.13203310088452772,1.2559820500525718,1.3851518964492846,1.3744267896859934,-0.40372389566091127,0.6167177541475239,1.3885896739728478,1.3752543613596107,-0.4053002861373507,3.348215779346464,0.8466758729391843,-1.006008416254034,0.766760910435052,-0.3311480769212728,0.867145425095553,-1.0018149989632692,0.7553398719301949,0.010972081708110745,-6.859603503314321,-1.1096982774296777,0.011425053685490738,217.6350152536979,-0.6981214353471721,-0.8895556286500694,0.2816972665032551,10.0,-7.557724938661493,-1.9992539060797472,0.29312232018874584,0.18231032602715214,0.651818795467964,1.1564180651556797,9.25726449315232,4.584181204532036,-1.3510009537911691,0.19297475865982983
0.28400000000000003,0.09351585909964799,-0.29389048454021116,-0.1312968281800704,0.25004136625532336,-0.17737413204017569,-0.1324078812197941,1.2626542602192816,1.3868472622948407,1.3724007832086733,-0.4021823505313563,0.6169987694014638,1.390332436572424,1.3731825237259798,-0.40386215922910407,3.323517628612549,0.848592768304901,-1.01976455427355,0.774613024763865,0.14050762696994423,0.8713812997880488,-1.0359188168153648,0.7190634541233214,-0.0325012770138875,-6.857188118681491,-1.101541308877935,0.010636695084607961,223.0182774657979,-0.6711447577273608,-0.9996698877634493,0.1394513234545678,10.0,-7.528332876408852,-2.1012111966413842,0.15008801853917575,0.18056756342757607,0.6587249209134001,1.1569450016903502,9.268882910482827,4.5772750790866,-1.346207197430347,0.1951346438465271
0.28600000000000003,0.09171365762355196,-0.2949718054258688,-0.1316572684752896,0.2502530557981124,-0.177911862688689,-0.13278059203382792,1.269276120567022,1.3885462675225042,1.3703477314688992,-0.4006254435618558,0.6180282683323153,1.3920726687222094,1.3710953019133922,-0.40232920432076996,3.297879639697132,0.850313366383193,-1.033046277321148,0.782118472850174,0.5147494654257434,0.8701160748927685,-1.0436109062937464,0.766477454167039,0.016906715545152783,-6.867923939305196,-1.1123693945121904,0.013191607899835534,220.94218145148494,-0.7043941822147515,-0.8274573611704481,0.31695438825237554,10.0,-7.572318121519947,-1.9398267556826385,0.3301459961522111,0.1788273312777906,0.6656823269553591,1.1588754328376436,9.280484458148063,4.570317673044641,-1.3410973477358998,0.19707621069779277
0.28800000000000003,0.089919916711936,-0.2960480499728384,-0.1320160166576128,0.2506511530551668,-0.17819999274136825,-0.13314988473892345,1.2758457787780701,1.3902485157603734,1.3682685980993887,-0.3990538766399556,0.6180418239656387,1.393808020040008,1.3689911669136892,-0.4007975656306811,3.2713294149226413,0.8518338380141266,-1.0458390338410894,0.7892688004044329,0.00677781666167121,0.8676756588993692,-1.0520674998515775,0.765819345044452,0.05903392023320616,-6.854431668254555,-1.0889933677779084,0.009730467527032882,219.39789272970165,-0.6935037835799092,-0.8658361645797994,0.15667193856586237,10.0,-7.547935451834464,-1.9548295323577078,0.16640240609289525,0.17709197995999193,0.6726961102877027,1.1589008512387748,9.292053466933387,4.563303889712297,-1.3359918854356037,0.1993087569237267
0.29,0.08813508480000004,-0.29711894912,-0.13237298304,0.2512008663123723,-0.17829247605309437,-0.13351618789657413,1.2823614382267126,1.3919536028745607,1.3661643753335349,-0.3974683683602381,0.617252501541588,1.395540500513996,1.366867508919113,-0.399253257404353,3.2438950003837452,0.8531502136672198,-1.058128691971083,0.7960558775342158,-0.3946612120253573,0.8662402369939587,-1.0618289972881165,0.7721541131640248,0.002470846081239521,-6.880602858168358,-1.1198097096046848,0.015804784279294326,225.19282174809877,-0.6725287114913909,-0.8965270110023367,0.18753007536791522,10.0,-7.553131569659749,-2.0163367206070215,0.20333485964720954,0.17535949948600393,0.679774970269623,1.1574207791891766,9.303603336759974,4.556225029730377,-1.3308441913478435,0.2017708767862817
0.292,0.08635960682086402,-0.29818423590748155,-0.1327280786358272,0.2518742193575074,-0.1782285588053844,-0.13387954487764017,1.2888213587796051,1.3936611166150423,1.3640360833315044,-0.39586965312981875,0.6158204994829468,1.3972717316304846,1.3647194910300073,-0.3977013767717965,3.2156048232442336,0.85425838969172,-1.0699015306582793,0.8024719494531818,-0.7160010293205514,0.8656155582443043,-1.0740089445528216,0.7759403162782692,-0.04382508928455352,-6.8731685031727485,-1.1058102332975979,0.014036723895616277,230.35278545356186,-0.6596699481040202,-0.914007943243857,0.18894343064731323,10.0,-7.532838451276769,-2.019818176541455,0.2029801545429295,0.1736282683695154,0.686935029899975,1.1547356075059945,9.315144877536564,4.549064970100025,-1.3256712559059884,0.20441569730987838
0.294,0.08459392402124799,-0.2992436455872512,-0.1330812151957504,0.252364652991189,-0.17844816032383753,-0.1342396440312177,1.2952238575196895,1.3953706364333276,1.3618847692109017,-0.39425848056242535,0.6154839479254375,1.3990082061730869,1.3625202993480632,-0.39616515066798713,3.1864876353237537,0.8551541724871603,-1.0811443520087893,0.8085095001205411,-0.1682757787546646,0.8682372713011867,-1.0995958409720743,0.7681130519046843,-0.08267102733849965,-6.849326179005236,-1.0702871444575872,0.008503436918316787,235.04091672817725,-0.6540196452042446,-0.9074998053794223,0.19913465955651088,10.0,-7.503345824209481,-1.9777869498370095,0.20763809647482767,0.1718917938269131,0.6942656688397886,1.1541045338935636,9.326721374487246,4.541734331160211,-1.3205505022266237,0.20673632655267876
0.296,0.08283847377715198,-0.3002969157337088,-0.13343230524456962,0.2527161440834519,-0.17889611498804076,-0.13459675014047592,1.3015673093209001,1.397081733304991,1.3597115059234692,-0.3926356151293366,0.6160098149623999,1.4007428603760195,1.3602980040802581,-0.3945766580503838,3.1565724395810624,0.8558332611438013,-1.0918444499184998,0.8141613051478036,0.26293351848124047,0.8673271014663413,-1.1111476339025197,0.7942463088016647,-0.018852965857329124,-6.893653342781633,-1.124166788896065,0.018598625768144306,232.4237941653246,-0.6771739416878484,-0.7806268989495884,0.2547837237454882,10.0,-7.570827284469481,-1.9047936878456533,0.2733823495136325,0.1701571396239805,0.701673319732472,1.1550905962167635,9.338285735840131,4.534326680267528,-1.3152555268346127,0.20880118108454493
0.298,0.08109368940953599,-0.3013437863542784,-0.1337812621180928,0.2529534130961474,-0.17952502815256213,-0.13494999281151607,1.3078501472780137,1.3987939694779028,1.3575173914112277,-0.39100183534183414,0.6172227297362612,1.4024759170737358,1.358043938314804,-0.39299249094924044,3.1258884349409377,0.856291246681018,-1.1019895370616983,0.8194206076035937,0.6064573869306362,0.8665283488581746,-1.1270328827270684,0.7920835505716672,0.03470400487780932,-6.896601455867499,-1.12287916180843,0.019033912996437863,230.4557390263617,-0.6729541077175885,-0.7609190259825498,0.17219364937870885,10.0,-7.569555563585087,-1.8837981877909797,0.1912275623751467,0.1684240829262642,0.7091868722839862,1.1573649535650876,9.349839447158239,4.5268131277160135,-1.3099749698308014,0.21065834995765154
0.3,0.0793600000000001,-0.30238399999999993,-0.13412799999999997,0.25338932418980603,-0.1798916703551321,-0.13529996910068337,1.314070863060664,1.400506898291715,1.3553035477752224,-0.3893579326989222,0.6173730255460026,1.4041980413655184,1.3557990197667367,-0.39134811581986917,3.0944649579758843,0.8565236556129507,-1.11156786667993,0.8242809457394418,0.07514790487066414,0.861062145891297,-1.1224592740336685,0.8221875646856448,0.07968574791542138,-6.87776357481912,-1.0938923720904983,0.014643338536881378,228.95850056568278,-0.6707431805680057,-0.6983970334973515,0.20148074567746255,10.0,-7.548506755387126,-1.7922894055878498,0.21612408421434393,0.16670195863448156,0.7166699341108771,1.1576467758222437,9.361320275770122,4.519330065889123,-1.304493719399564,0.21281905462472223
0.302,0.07763783020646403,-0.3034173018761216,-0.1344724339587072,0.2539786103430472,-0.18004731639001,-0.13564598599887118,1.3202280071099173,1.4022200641003546,1.353071119944508,-0.38770471155887637,0.6166849468313976,1.4059168778295175,1.3535293547622749,-0.3897438575836706,3.0623314191870477,0.8565259463867436,-1.1205682003216366,0.8287362296471451,-0.34403935730247626,0.8594182319995166,-1.1348325022309222,0.8021291180992802,0.01140871808375479,-6.91392115726712,-1.1364693635688325,0.022807531118833824,234.7539625837055,-0.6296827755855672,-0.8032413569723404,0.09906274506585722,10.0,-7.543603932852688,-1.939710720541173,0.12187027618469104,0.1649831221704825,0.7242354841257503,1.156356547593095,9.372779185530117,4.511764515874249,-1.2991461919455687,0.2152152440753515
0.304,0.075927600078848,-0.3044434399526912,-0.1348144799842304,0.2544086005001752,-0.18045165716636835,-0.13598852464481187,1.326320188737412,1.403933002077262,1.350821274973936,-0.38604298778033364,0.616945243856824,1.4076364491800712,1.351225232807964,-0.38813206517002347,3.0295172498033818,0.8562935266523963,-1.1289798247891003,0.8327807431381951,0.13014851271319655,0.859785675276889,-1.1520609771555332,0.8058962068235553,-0.04341582131803574,-6.909624156618159,-1.1273988692116594,0.021948682083996696,239.8790254286512,-0.6201603684535968,-0.7656025169671183,0.1966238962223983,10.0,-7.529784525071756,-1.8930013861787778,0.21857257830639498,0.16326355081992872,0.7319158906401197,1.1568446350212338,9.384242994533809,4.50408410935988,-1.293773550566745,0.21732650112398513
0.306,0.07422972487475199,-0.3054621650751488,-0.1351540550250496,0.25471324405015044,-0.18105569070365005,-0.13632739784425904,1.3323460761091308,1.4056452382069642,1.3485552006453516,-0.3843735885863236,0.6179578140310956,1.4093526542587484,1.3489000717139898,-0.3864942491062661,2.99605185496421,0.855821784159938,-1.1367926053397759,0.8364090869662777,0.5062850871357804,0.8581025393386287,-1.1625805469870791,0.8189080318786692,0.019206857749998085,-6.923997452444293,-1.1413227325626425,0.02507569146418387,237.54747641370014,-0.6290744208677257,-0.6788626742576316,0.19722105224488695,10.0,-7.553071873312018,-1.820185406820274,0.22229674370907082,0.1615473457412515,0.7396664276200333,1.1587433227659771,9.39568436172499,4.4963335723799664,-1.2883141636875537,0.21920914281310025
0.308,0.07254461487513614,-0.3064732310749183,-0.13549107702497276,0.25520654475833554,-0.18140612984698112,-0.1366626248973708,1.338304396157269,1.4073562892139018,1.3462741045525768,-0.3826973514324685,0.6179572743835237,1.4110583176409794,1.346581073735664,-0.3848210745270736,2.9619645567204866,0.8551060722558068,-1.1439968957350777,0.8396163546824237,-0.0002698237859860564,0.8528316911155062,-1.1594989891628944,0.8365872895962655,0.07117605855915757,-6.9104936078052575,-1.119179362677556,0.021886669550025717,235.74941039452963,-0.6228812501165795,-0.6391209384079053,0.1587712446909697,10.0,-7.533374857921837,-1.7583003010854612,0.18065791424099542,0.15984168235902052,0.7473964208811195,1.1587423108635357,9.407055450939863,4.48860357911888,-1.2827369150902455,0.22137870937068738
