t,pos_err_norm,sv1,sv2,sv3,lambda,xdot_cmd_x,xdot_cmd_y,xdot_cmd_z,qdot_cmd_1,qdot_cmd_2,qdot_cmd_3,qdot_cmd_4,tau_1,tau_2,tau_3,tau_4,joint_margin_min,act_margin_min
0.708,0.33739091165185253,0.57818943048352,0.26757516120931085,0.18775973053763562,0.08,-1.799029491992201,0.10122230068903104,0.10431302953283256,3.288754789062074,-0.39515262328584383,3.1133252210745095,-2.0700927658962005,10.0,-0.3707524705008889,10.0,-2.002612881946601,0.050108091221845674,0.16669363740615228
0.71,0.3387624303141587,0.577783940183235,0.2674188948822344,0.18785148231445906,0.08,-1.808676329566179,0.1071389890981409,0.1050164483606259,3.2939271187612147,-0.3964074742404352,3.134831696186334,-2.085616216689849,10.0,0.13334083873854574,10.0,-6.469122592000585,0.0492761578819465,0.1639205262731549
0.712,0.3399801907803568,0.5775661197292816,0.2675393796885569,0.1878904436559521,0.08,-1.8191987427438212,0.11286762473872403,0.10572528669110715,3.294045504395678,-0.4019745286386914,0.0,-2.1042371561696944,10.0,0.14426657259238018,-3.2603242140729076,-8.510487131066553,0.050221369798536086,0.1670712326617867
0.714,0.3410888930312001,0.5772813169799013,0.2677583156461208,0.18802456063173734,0.08,-1.8293275715854178,0.11926639564350472,0.1063935495297009,3.2954893371065497,-0.4061468253195252,3.185309339044653,-2.124214985421902,10.0,-2.2874926010858028,10.0,-3.942766934228188,0.05089346336010858,0.169311544533695
0.716,0.34253235717169417,0.5770861576940468,0.26807043952384846,0.18811733457540686,0.08,-1.8391359490933463,0.1261979877988521,0.1070313339019005,3.297901340156682,-0.4122818962781341,3.2090714066347124,-2.143422586757539,10.0,-1.7638820137013238,10.0,-5.812410014458073,0.05160864913174157,0.17169549710580512
0.718,0.34390219636777364,0.5769989866849635,0.26854475148941215,0.18817572197212648,0.08,-1.8496104125676873,0.13262503564268724,0.10761473163449908,3.2959486090365364,-0.421060477095067,3.236601252512813,-2.164861166348109,10.0,-1.5228771380272894,10.0,-7.251838402169808,0.05249746976642,0.17465823255473278
0.72,0.34541885785748533,0.5763934309245371,0.26846296121564484,0.1884138528781186,0.08,-1.8588942067034746,0.13743481868861196,0.10776893182971223,3.297479472063755,-0.4183223263676219,3.2555095083589096,-2.182732371172963,10.0,-1.3540517591373682,10.0,-0.13717648010910177,0.05243533447491866,0.17445111491639498
0.722,0.3465564084995959,0.5758876471564623,0.2683645675852493,0.18857918088023917,0.08,-1.8682274374138546,0.14166851325068452,0.10801526681733856,3.297296606332266,-0.41726758452054746,3.276169511342627,-2.1997887231066167,10.0,-0.4743331043938417,10.0,-3.556187289017071,0.0520301689636129,0.17310056321204303
0.724,0.34761748501171197,0.5751850531140794,0.26799381984371534,0.18879474311326627,0.08,-1.8761720566866358,0.14602365890090996,0.1081163058468084,3.3027957908583465,-0.4113806571966344,3.2902295756724382,-2.2125564749227884,10.0,-0.12684508128008254,10.0,-1.7633642274832715,0.051064352590007855,0.16988117530002622
0.726,0.3486240759750002,0.5747380649903868,0.26784059611194366,0.18890214832038196,0.08,-1.884035377568275,0.15119336331652933,0.10837321850405748,3.308402063217241,-0.41085797367905097,3.3065371059189017,-2.2250338062463446,10.0,0.41642013177325765,10.0,-6.353282587799586,0.050333699983176494,0.1674456666105879
0.728,0.3500098205777297,0.5743930710385424,0.2678548521705349,0.1889852414143558,0.08,-1.891773279804957,0.1569734067190779,0.10859017714157121,3.3142041598290506,-0.41275794146238476,3.3233357414162064,-2.2379481907671206,10.0,0.44631771756838035,10.0,-7.271114127242371,0.049962991152283864,0.16620997050761233
0.73,0.35169440080921777,0.5741922002382509,0.26810466843734015,0.18903571353123827,0.08,-1.9003619490025039,0.162335331249167,0.10877753385428099,3.314523231351055,-0.41822599789690373,0.0,-2.254121890547363,10.0,0.317154303814589,-1.4427191106629293,-8.480284454510306,0.05124794860617565,0.17049316202058495
0.732,0.3532048258522864,0.5739612494207854,0.26852818862773087,0.1891641464533816,0.08,-1.9095447897447233,0.1673161455068236,0.10883632823444397,3.3105569564221087,-0.4235194144475152,3.367978596830104,-2.274299829892181,10.0,-1.5187797239410354,10.0,-4.753738233858597,0.05239812701801183,0.17432709006003932
0.734,0.35433482670358313,0.5737663016011045,0.2689948470504967,0.1892751019445203,0.08,-1.91816830205034,0.17286022672204554,0.10882827352216706,3.3088222797269378,-0.4296376148483417,3.3896044385028397,-2.29320522908873,10.0,-1.190435838582593,10.0,-5.597890151468961,0.05348989519755154,0.1779663173251711
0.736,0.35566004260949174,0.5731929880710132,0.26903466957424876,0.18950666733718557,0.08,-1.9251699903135,0.17802334225034722,0.10850793383734816,3.3136559012630533,-0.4268908700800278,3.402133427533587,-2.307189235548658,10.0,-0.9388224714264526,10.0,-0.9029951002854788,0.05375522077235817,0.1788507359078606
0.738,0.35703799830921895,0.5726574210068938,0.2689991784837005,0.18969132931775587,0.08,-1.9322332241857845,0.18225228304142815,0.10823483094695449,3.31623037474546,-0.42447321460053583,3.41593286002719,-2.3204114837430523,10.0,-0.19496996000150402,10.0,-3.174165706082892,0.05358364473046451,0.17827881576821447
0.74,0.3581166462785046,0.5719584485750195,0.2687162686621568,0.18991006675628697,0.08,-1.938835610958733,0.1853869894828677,0.10784797177645705,3.3188785693817975,-0.4178689484116982,3.4271607405819142,-2.3315750271384235,10.0,0.2488260650508778,10.0,-2.045785165110228,0.052844081690302414,0.17581360563434068
0.742,0.35956525930334976,0.5711970058267012,0.2682742751952802,0.19012426439743652,0.08,-1.944360875682806,0.18874897611522723,0.10743981882140244,3.326040076896068,-0.4092036002593021,3.4342151424243315,-2.339073881724685,10.0,0.7189419875823346,10.0,-2.4652517734786663,0.05169204617638323,0.17197348725461037
0.744,0.36089929901211454,0.5707678400244856,0.26815658067143117,0.1902139352616972,0.08,-1.9508387897685189,0.1919803625019939,0.10720892779093569,3.3271927305368805,-0.4080163844219164,3.448176755079093,-2.3495187003860853,10.0,1.2609515196725578,10.0,-7.622770318045042,0.05103907113687689,0.16979690378958967
0.746,0.36214698926499117,0.5703822486449714,0.2681862203676483,0.1903098525628595,0.08,-1.9570027561474141,0.19594549755435242,0.10685124267772994,3.329634959069666,-0.4081928631897554,3.4613527381780407,-2.360243194562413,10.0,1.172751618401647,10.0,-7.226399884790077,0.05080097216796142,0.1690032405598707
0.748,0.36372848613108455,0.5700258692097874,0.26833222802859924,0.19041332455432236,0.08,-1.9628654292513787,0.2004618337906241,0.10637031885328144,3.333143480500093,-0.40934767511277603,3.473727402885408,-2.371126551724298,10.0,1.1270610059461648,10.0,-6.826411434873751,0.05088707392916714,0.169290246430557
0.75,0.3651775901827711,0.5697608364676299,0.2686521375716885,0.19050101789456794,0.08,-1.969387467453605,0.20447171408028608,0.10580992367326425,3.3316294295582103,-0.41298084681071373,3.4896757761597645,-2.384752154647296,10.0,1.1201410100601956,10.0,-7.40497863243341,0.05124827348298999,0.1704942449433
0.752,0.36652699553228035,0.5689522073861211,0.2684052924624846,0.1907717414744588,0.08,-1.9746580367634459,0.20682549114364757,0.10482252066524625,3.333390172620544,-0.4038123006387691,3.4967031781913827,-2.3942221567860487,10.0,0.9451490967388931,10.0,-0.014948472255961631,0.05078157301020214,0.1689385767006737
