controller_mode,lambda_task,duration,tau_limit,rms_ee_pos_err,max_ee_pos_err,final_ee_pos_err,rms_joint_err,max_joint_err,max_tau,saturation_steps,joint_limit_steps,stable
pd_bias,0.1,3.0,50.0,0.32976517161896957,0.5042704141695451,0.5042002578512805,1.1013569792632232,1.8415303631015316,50.0,1501,0,True
pd_bias,0.3,3.0,50.0,0.3236404708601528,0.4890156847215115,0.4886707806124114,1.1019552457858213,1.841975884710981,50.0,1501,0,True
computed_torque,0.0,3.0,50.0,0.3331652999270604,0.5123613031784714,0.5121344968938791,1.1011554419140315,1.8411826046171271,50.0,1501,0,True
computed_torque,0.1,3.0,50.0,0.329778259788292,0.5040728912885868,0.5040333800159517,1.1013487920459162,1.84114556621639,50.0,1501,0,True
computed_torque,0.3,3.0,50.0,0.3236512420560454,0.4888921484330538,0.4887598144648787,1.1019613359424552,1.842372994157772,50.0,1501,0,True
pd_bias,0.0,3.0,100.0,0.3418858530245958,0.5280139338488835,0.5275827306782411,1.107818603857012,1.8455851321925436,100.0,1501,0,True
pd_bias,0.1,3.0,100.0,0.3381273953939355,0.5193980066453285,0.5193980066453285,1.1078681097432468,1.8444208612430004,100.0,1501,0,True
pd_bias,0.3,3.0,100.0,0.3313182962577006,0.5034776214667465,0.5033459975825202,1.1083503843290365,1.844740817892159,100.0,1501,0,True
computed_torque,0.0,3.0,100.0,0.3419033721604174,0.5278975336304786,0.5277174148089366,1.1078439433616378,1.845792098213743,100.0,1501,0,True
computed_torque,0.1,3.0,100.0,0.33814939871335914,0.5193757147596121,0.5193757147596121,1.1079117888797803,1.845475922077873,100.0,1501,0,True
computed_torque,0.3,3.0,100.0,0.331325765098863,0.5034774266971314,0.5031370558076524,1.1083282225113187,1.8455644254750552,100.0,1501,0,True
pd_bias,0.0,5.0,20.0,0.33290752511850585,0.5099637960797097,0.5099503283976144,1.0995934740037907,1.8409980928882532,20.0,2501,0,True
pd_bias,0.1,5.0,20.0,0.32940508736234947,0.5017751586840994,0.5014572452420071,1.0997304240862669,1.8427305448415323,20.0,2501,0,True
pd_bias,0.3,5.0,20.0,0.3237924301886142,0.49005910034906736,0.4896662250499824,1.100131837651048,1.8417145623483802,20.0,2501,0,True
computed_torque,0.0,5.0,20.0,0.3329130672152262,0.5101732184470746,0.5095407251815821,1.0995956079968063,1.842514927149602,20.0,2501,0,True
computed_torque,0.1,5.0,20.0,0.3294081701448998,0.5016794546827053,0.5013486546854365,1.099729216021063,1.8421835547131358,20.0,2501,0,True
computed_torque,0.3,5.0,20.0,0.3237961576162841,0.490082531902881,0.4894869914915449,1.1001332656045206,1.8430754592234628,20.0,2501,0,True
pd_bias,0.0,5.0,50.0,0.33324416009649166,0.5125169770178791,0.5122834497891914,1.1011626904175265,1.8413421858565726,50.0,2501,0,True
pd_bias,0.1,5.0,50.0,0.3297413787062789,0.5041723115709018,0.5040661221007875,1.1013578926283576,1.8414840721009933,50.0,2501,0,True
pd_bias,0.3,5.0,50.0,0.32340218987617,0.4887904722687906,0.48867731069542586,1.1019750221246616,1.8424107002438996,50.0,2501,0,True
computed_torque,0.0,5.0,50.0,0.33324709313035167,0.5124199375298367,0.5123718359091481,1.1011600358391325,1.841096783932135,50.0,2501,0,True
