controller_mode,lambda_task,duration,tau_limit,rms_ee_pos_err,max_ee_pos_err,final_ee_pos_err,rms_joint_err,max_joint_err,max_tau,saturation_steps,joint_limit_steps,stable
computed_torque,0.1,2.0,100.0,0.33797422512835423,0.5193147608197008,0.5158702075877912,1.1074983045960898,1.8451180743790307,100.0,602,0,True
computed_torque,0.3,2.0,100.0,0.33149507817470575,0.5036949741666112,0.5036167337744282,1.108111296969456,1.8450863273106506,100.0,632,0,True
pd_bias,0.0,3.0,20.0,0.33291603478684384,0.5102405726928303,0.5094884029191818,1.0997947611772454,1.8416731400795854,20.0,1336,0,True
pd_bias,0.1,3.0,20.0,0.32953552920645723,0.5018610304916505,0.5007451821351291,1.0999160406556816,1.8417946073095677,20.0,1318,0,True
pd_bias,0.3,3.0,20.0,0.32393096415521094,0.4899786451683338,0.48991669047903424,1.1003306246310953,1.8423775026106521,20.0,1354,0,True
computed_torque,0.0,3.0,20.0,0.33292643890578716,0.510101586002227,0.5093869454618006,1.0997982719747819,1.8417211206530313,20.0,1336,0,True
computed_torque,0.1,3.0,20.0,0.3295335742756362,0.5016365189527789,0.5013319514511596,1.0999247501475413,1.8419698610710042,20.0,1331,0,True
computed_torque,0.3,3.0,20.0,0.3239533135749687,0.4898774583403041,0.4896507924535874,1.1003292858018536,1.8424164630526494,20.0,1357,0,True
pd_bias,0.0,3.0,50.0,0.33321837049246733,0.5125225449974263,0.5109709183456157,1.1015051401619689,1.841743072396772,50.0,1246,0,True
pd_bias,0.1,3.0,50.0,0.32982467850452296,0.5042129353405045,0.5025282840340184,1.1016646921493454,1.841897173911548,50.0,1225,0,True
pd_bias,0.3,3.0,50.0,0.32372504966627513,0.48905232687644284,0.4889762175726176,1.102306043079176,1.8426379291807067,50.0,1269,0,True
computed_torque,0.0,3.0,50.0,0.3332301197523126,0.5123783547673632,0.5106770751639427,1.1015114887454385,1.841700747431992,50.0,1237,0,True
computed_torque,0.1,3.0,50.0,0.3298636941039883,0.5041754661222508,0.5039293740485078,1.1016768730236461,1.841817307106759,50.0,1249,0,True
computed_torque,0.3,3.0,50.0,0.3237400532802595,0.48890086092545076,0.4888803383310853,1.1023044154211337,1.842708879889401,50.0,1272,0,True
pd_bias,0.0,3.0,100.0,0.34187054551461393,0.5279838284047479,0.5248612707027356,1.1077905658288305,1.8451812836030501,100.0,918,0,True
