sample_index,t,task_mode,des_x,des_y,des_z,sol_x,sol_y,sol_z,residual_norm,ik_success,q_jnt_1,q_jnt_2,q_jnt_3,q_jnt_4,q_act_1,q_act_2,q_act_3,q_act_4,j_margin_min,j_margin_1,j_margin_2,j_margin_3,j_margin_4,a_margin_min,a_margin_1,a_margin_2,a_margin_3,a_margin_4,active_limit_name,active_limit_margin
33,0.66,xyz,-0.04763156480000002,-0.32142106111999996,-0.14047368704,-0.047503365431794425,-0.32154704292291886,-0.14064336982106904,0.0002471815908726515,True,1.7174720306382605,1.4350873997060347,1.3075319515875745,-0.3558286316189295,3.220461336280256,9.567249331373565,4.358439838625249,-1.186095438729765,0.13581260029396525,1.4241279693617395,0.13581260029396525,0.26336804841242545,1.2150713683810705,0.8775601613747508,2.6704386637197444,0.9047506686264342,0.8775601613747508,4.0499045612702345,jnt2,0.13581260029396525
34,0.68,xyz,-0.06272432640000003,-0.31236540415999997,-0.13745513471999998,-0.06257294953919894,-0.31250495355349656,-0.13763238945145775,0.00027167669579009616,True,1.7684159118268425,1.4185552008253286,1.3310298689848914,-0.3727931662104832,3.3159870838680714,9.457034672168858,4.436766229949638,-1.2426438873682775,0.15234479917467136,1.3731840881731574,0.15234479917467136,0.23987013101510857,1.1981068337895167,0.7992337700503613,2.574912916131929,1.014965327831142,0.7992337700503613,3.993356112631722,jnt2,0.15234479917467136
35,0.7000000000000001,xyz,-0.07936000000000007,-0.30238399999999993,-0.13412799999999997,-0.07918735550144253,-0.3025354451667473,-0.13430446285860817,0.0002896219982692966,True,1.8268012645061174,1.4014964114333677,1.3539617256679142,-0.38971474695412045,3.425466462602883,9.343309409555784,4.513205752226381,-1.299049156513735,0.1694035885666323,1.3147987354938826,0.1694035885666323,0.2169382743320858,1.1811852530458795,0.7227942477736189,2.4654335373971175,1.128690590444215,0.7227942477736189,3.936950843486265,jnt2,0.1694035885666323
36,0.72,xyz,-0.09714383359999999,-0.29171369984,-0.13057123328,-0.09695382704309997,-0.29187580515715356,-0.13073943614270164,0.00030111929286493594,True,1.8915061188349127,1.3844212427565181,1.3750868724254708,-0.4057314606115753,3.546795647543433,9.229474951710122,4.5836229080849025,-1.3524382020385843,0.18647875724348184,1.2500938811650872,0.18647875724348184,0.19581312757452918,1.1651685393884246,0.6523770919150973,2.3441043524565672,1.2425250482898775,0.6523770919150973,3.8835617979614154,jnt2,0.18647875724348184
37,0.74,xyz,-0.11563499519999998,-0.28061900288,-0.12687300096,-0.11543374187783731,-0.28079015333041524,-0.12702686175709096,0.0003057262194191167,True,1.9608395705509982,1.3677547362283,1.3933782072404344,-0.4200978722794318,3.6768039950328113,9.118364908188667,4.644594024134782,-1.4003262409314394,0.1775217927595656,1.1807604294490017,0.20314526377169995,0.1775217927595656,1.1508021277205682,0.5914059758652179,2.214096004967189,1.3536350918113325,0.5914059758652179,3.8356737590685603,jnt3,0.1775217927595656
38,0.76,xyz,-0.13436500480000002,-0.26938099711999997,-0.12312699903999999,-0.13416037146621124,-0.26955827618401984,-0.1232620746956393,0.0003025691666109801,True,2.0326075201304548,1.351854236770068,1.4081133694896282,-0.43225090758371626,3.8113773113265608,9.012361578467122,4.693711231632094,-1.4408363586123876,0.1627866305103718,1.1089924798695452,0.21904576322993186,0.1627866305103718,1.1386490924162838,0.5422887683679054,2.0795226886734395,1.459638421532878,0.5422887683679054,3.795163641387612,jnt3,0.1627866305103718
39,0.78,xyz,-0.15285616639999997,-0.25828630016000004,-0.11942876672000001,-0.15265661515274787,-0.25846501212818673,-0.1195423368789531,0.00029095850023270033,True,2.1042974107004575,1.3370349841590017,1.4189323956318487,-0.4418540257014043,3.9458042578294723,8.913566561060012,4.729774652106163,-1.4728467523380144,0.15196760436815127,1.0373025892995424,0.23386501584099828,0.15196760436815127,1.1290459742985957,0.506225347893837,1.945095742170528,1.5584334389399874,0.506225347893837,3.763153247661985,jnt3,0.15196760436815127
40,0.8,xyz,-0.17064000000000007,-0.24761599999999995,-0.11587199999999999,-0.17045314451872048,-0.24779000064663909,-0.11596304582712602,0.00027107293954234385,True,2.1733520918090354,1.323581997033932,1.425853989708783,-0.44881606753523656,4.075289877759301,8.823879980226213,4.75284663236261,-1.4960535584507886,0.145046010291217,0.9682479081909645,0.24731800296606798,0.145046010291217,1.1220839324647633,0.4831533676373896,1.8156101222406988,1.6481200197737866,0.4831533676373896,3.739946441549211,jnt3,0.145046010291217
41,0.8200000000000001,xyz,-0.18727567360000003,-0.23763459584,-0.11254486527999999,-0.18710717393407916,-0.23779732900775336,-0.11261397194754219,0.0002442333982101455,True,2.2374589528522555,1.311737564784887,1.4292461689316542,-0.4532827290553042,4.19549775520768,8.744917098565914,4.764153896438848,-1.5109424301843475,0.14165383106834573,0.9041410471477445,0.25916243521511295,0.14165383106834573,1.1176172709446957,0.47184610356115186,1.6954022447923203,1.7270829014340858,0.47184610356115186,3.725057569815652,jnt3,0.14165383106834573
42,0.84,xyz,-0.2023684352000001,-0.22857893887999994,-0.10952631295999998,-0.20222164197252274,-0.22872467112839784,-0.10957548069771467,0.00021261139736220757,True,2.294773169456163,1.3016711278796278,1.4297544224712093,-0.45560070078104764,4.302968628269572,8.677807519197518,4.7658480749040315,-1.5186690026034921,0.14114557752879064,0.8468268305438369,0.26922887212037216,0.14114557752879064,1.1152992992189523,0.47015192509596826,1.587931371730428,1.7941924808024812,0.47015192509596826,3.7173309973965076,jnt3,0.14114557752879064
